numero_base,classe,descricao
010742,1,"Vírus, exceto para fins médicos e veterinários"
010744,1,Óleos essenciais para uso em fabricação
010745,1,Fosfato de ferro e lítio
010746,1,Óxido de lítio e cobalto
010747,1,Extratos de ervas para a indústria alimentícia
010748,1,Corantes fluorescentes para fins científicos
010749,1,Almíscar para uso em fabricação
010750,1,Vanilina para uso em fabricação
020001,2,Tintas *
020002,2,Mordentes *
020003,2,Vernizes *
020004,2,Corantes para bebidas
020005,2,Corantes alimentícios
020005,2,Colorantes alimentícios
020006,2,Alizarina [corante]
020007,2,Tintas de alumínio
020008,2,Pó de alumínio para pintura
020009,2,Tintas de amianto
020010,2,Preparações anticorrosão
020011,2,Fixadores para aquarelas
020014,2,Pasta de prata
020015,2,Emulsões de prata [pigmentos]
020016,2,Pós para pratear
020017,2,Betume da judeia
020018,2,Auramina
020019,2,Tintas bactericidas
020020,2,Estuque [revestimento texturizado]
020021,2,Faixas anticorrosão
020022,2,Bálsamo do canadá
020023,2,Corantes para manteiga
020024,2,Corantes para cerveja
020025,2,Verniz betuminoso
020026,2,Revestimentos para madeira [tintas]
020027,2,Mordentes para madeira
020028,2,Tinturas para madeira
020029,2,Terra de siena [argila]
020031,2,Lacas de bronzagem
020032,2,Pó de bronze para pintura
020033,2,Tintas para couro
